"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andaman and Nicobar Island",14,"ACANI","AN/2009/0009890","Alex Dias","Fr Gabriel",,,,,"Fr Johnson","Fr Cyprian","Karwani Islami","Registrar of Societies","Society",268,02/06/1979 00:00,"Port Blair","http://ngo.india.gov.in/ngo/acaniandamans.jpg",240020003,"Animal Husbandry, Dairying & Fisheries, Agriculture, Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Land Resources, Micro Finance (SHGs), Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs","Andaman and Nicobar Island","Andaman, Nicobar","promoted 449 SHG, Construction of Permanent Housingin collaboration with the Andaman & Nicobar Administration, Reliefmaterial distribution to more than 15000 families during Tsunami, openinig of relief camp accomodating 2500 families, promotion of Kitchen Garden in the Temporay Shelter.","Port Blair",9434267226,"acaniandamans@yahoo.co.in","03192-235904","ACANI Prerna Deep, Lambaline Junglighat P.O Andaman & Nicobar Islands Pin 744103","03192-235904","Animal Husbandry, Dairying & Fisheries, Agriculture, Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Land Resources, Micro Finance (SHGs), Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",,,,,
"Andaman and Nicobar Island",14,"ARPAN","AN/2009/0000049","Bashir NM","Bashir NM","Harilal N V","Promoter Name 2",,,"Mohd Safiq","Abdul Rafiq","Karwani Islami","Registrar of Companies","Society",1316,10/03/2008 00:00,"Port Blair","http://ngo.india.gov.in/ngo/vision_arpan.jpg",,"Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Sports,","Andaman and Nicobar Island","Andaman, Nicobar","ARPAN has been a change agent in the rural area of Andman Islands. The activities of ARPAN impacted in the areas of Sanitation, Education, Women empowerment, Environment, Sport and Cultural activities etc","Port Blair",9434260427,"vision_arpan@rediffmail.com",,"ARPAN Enem Post & Village - Ograbraj Port Blair S.Andaman Pin - 744103","03192-224660","Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Sports,",,,,,"http://www.arpan.cfsites.org"
"Andaman and Nicobar Island",14,"BHEEMSINGH","AN/2011/0042723","bheemsingh","bheemsingh",,,,,"bheemsingh","bheemsingh","Karwani Islami","Registrar of Societies","Section 25 Company",4358340958304,05/01/2001 00:00,"bheemsingh","http://ngo.india.gov.in/ngo/f5d0ad3909bc09486759191fea37cc15.red-rose-thumb4902292.jpg",,"Biotechnology","Assam","Cachar","bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh bheemsingh","bheemsingh",,"saloni92146@yahoo.com",,"lakkad pura, bamboo road, near trees","202-03804349","Biotechnology",,,,,
"Andaman and Nicobar Island",14,"HUMANE TOUCH","AN/2011/0042662","K P Mohammed Younus","K P Mohammed Younus","P K Ummer Farooq","Promoter Name 2","N Abdul Aziz","N Abdul Salam","Mohammed Ali",,,"Registrar of Societies","Society",1340,27/11/2009,"Port Blair","http://ngo.india.gov.in/ngo/20b48fa446794937d30cdab387966474.HTreg"" certificate.pdf",,"Aged/Elderly, Art & Culture, Disaster Management, Education & Literacy, Health & Family Welfare, Sports, Vocational Training, Youth Affairs","Andaman and Nicobar Island",,"We have conducted Educational & Career Guidance programmes, Health Awareness & Eye check-up camps. We have organised a series of awareness progs on Anti-alcoholism in the villages of South Andaman. We have constructed a house for a poor family. Free ration is provided to a couple of families. Scholarship is given to poor meritorious students. A blood donation forum is active under Humane Touch.","Port Blair",9434281898,"younus2711@gmail.com",,"C/o K P Mohammed Younus Near Cooperative Bank Wimberly Gunj South Andaman. Pin: 744206","3192-256922","Aged/Elderly, Art & Culture, Disaster Management, Education & Literacy, Health & Family Welfare, Sports, Vocational Training, Youth Affairs",,,,,
"Andaman and Nicobar Island",14,"HUMJANENGE","AN/2010/0038175","TheCFO","TheCOTB",,,,,,,"Karwani Islami","International Organisation","Trust",123456,01/01/1960 00:00,"USA","http://ngo.india.gov.in/ngo/e8e1340f1f467e8b5b2070b3ce24648c.Minutes09112010.pdf",,"Prisoner's Issues, Right to Information & Advocacy, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Water Resources, Youth Affairs","Andaman and Nicobar Island, Andhra Pradesh, Arunachal Pradesh, Bihar, Delhi, Gujarat",,"A leading citizens group for participation in governance since 2005",,,"humjanenge.owner@gmail.com",,123456,"011-22224422","Prisoner's Issues, Right to Information & Advocacy, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Water Resources, Youth Affairs",,,,,"http://humjanenge.org.in"
"Andaman and Nicobar Island",14,"ISLAMIC WELFARE SOCIETY","AN/2010/0027860","M K MOHAMMED","M A MAJEED",,,,,"M K MOHAMMED","E MOIDEEN KUTTY","Karwani Islami","Registrar of Societies","Society",572,19/02/1986,"PORT BLAIR","http://ngo.india.gov.in/ngo/iwsandaman.pdf",240020011,"Aged/Elderly, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Human Rights, Minority Issues, Vocational Training","Andaman and Nicobar Island","Andaman","Since inception in 1986, the Society has established an English medium school in the rural milieu of Ferrar Gunj Tehsil and caters to 400 students. Scholarship is provided to poor and needy students. A computer centre sanctioned by NCPUL is run by the Society, which conducts One Year Diploma in Computer Applications and Multilingual DTP. The Society also runs an orphanage, in which 20 children from all over Andaman Islands is admitted. The society actively involved in relief and rehabilitation activities during the tsunami in 2004.","PORT BLAIR",9932081771,"iws.andaman@gmail.com","03192-232594","ISLAMIC WELFARE SOCIETY WIMBERLY GUNJ PO SOUTH ANDAMAN - 744206.","03192-246191","Aged/Elderly, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Human Rights, Minority Issues, Vocational Training",,,,,
"Andaman and Nicobar Island",14,"ISLANDERS SANGATHAN MANCH","AN/2009/0021564","Rev Dr Madhu Krishan","Rev Dr Madhu Krishan",,,,,"Shanmugam","Jaya","Karwani Islami","Registrar of Societies","Society",1208,03/03/2005 00:00,"Port Blair","http://ngo.india.gov.in/ngo/Islanders.pdf",,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition","Andaman and Nicobar Island",,"Dr Madhu Krishan the Founder & Chairman Of ISM got the Lt Governors Commendation Certificate Award for the Best work done during Tsunami disaster Relief & Rehabilitation work & got many National & International Awards & Gold Medals & also name recorded in Asian Americam Whos Who Book & in other World record books.","Port Blair",9176477757,"madhukrishan.777@gmail.com","03192-242731","28- Pankaj Deep Bhawan, VIP Road, Port Blair, Andaman & Nicobar Islands","03192-230751","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition",,,,,
"Andaman and Nicobar Island",14,"ISLES SCIENTIFIC LEARNING AND EDUCATIONAL SOCIETY","AN/2010/0028299","M K Abdul Gafoor","M K Abdul Gafoor",,,,,"Zubair Ahmed","Mohammed Ali","Karwani Islami","Registrar of Societies","Society",1258,04/12/2006 00:00,"Port Blair","http://ngo.india.gov.in/ngo/abdulgafoorpba.jpg",,"Education & Literacy, Information & Communication Technology, Scientific & Industrial Research, Science & Technology, Vocational Training","Andaman and Nicobar Island","Andaman","Started in the year 2003, registered in 2006, trained more than 1000 people in different fields of information technology. Had developed many web sites.","Port Blair",9434262464,"abdulgafoorpba@gmail.com",,"Opp. Sunshine, I Floor, RK Bhavan, C-70, Jetty Road, Junglighat, Port Balir, Andamans - 744103","03192-235728","Education & Literacy, Information & Communication Technology, Scientific & Industrial Research, Science & Technology, Vocational Training",,,,,"http://www.isles.co.in"
"Andaman and Nicobar Island",14,"JAMAL E WARSI AKHLAKE AALUMN EDUCATIONAL AND WELLFARE SOSAITY","MP/2011/0041635","Dr Azher Warsi","Dr Azher Warsi",,,,,,"Ikram Warsi","Karwani Islami","Registrar of Societies","Society","07/34/03/08223/03",28/08/2009,"Ujjain","http://ngo.india.gov.in/ngo/58e339ad29418ecc56c202ee49fedd5e.Rajistrahion2.jpg",,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises","Madhya Pradesh",,"Kuposhan ,goshala, Shiksh & Rural Dev, paryawarn","Rampura",9893260812,"warsi03@gmail.com",,"Badikandhar , Post-Rampura Tehsil-Manasa Dist-Neemuch Pin-458118","98932-60812","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises",,,,,
